id	text	misogynous	aggressiveness
1230	Altro che vecchia Signora è ancora un gran pezzo di figa !!!!!!!!!!!!!! <URL>	1	0
1231	<MENTION_1> <MENTION_2> Bellissima donna... E gran bel pezzo di figa, da gustare tutta mhmm	1	1
1232	<MENTION_1> <MENTION_2> Stai zitta troia	1	1
1233	<MENTION_1> RAJE sol culona rigonni	1	1
1234	<MENTION_1> Ti lecco tutta porcona messa così ti sborro sulle chiappe	1	1
1235	<MENTION_1> <MENTION_2> <MENTION_3> <MENTION_4> <MENTION_5> <MENTION_6> <MENTION_7> <MENTION_8> ma non ti vergogni? hai speso una intera giornata della liberazione a offendere <MENTION_9>  anziche' commemorare i caduti. Sei una vergog	1	0
1236	<MENTION_1> <MENTION_2> Sei una grande troia svenduta. Chiudi la bocca . Prima di offendere Matteo SAlvini.	1	1
1237	<MENTION_1> ti sborro così <URL>	1	1
1238	<MENTION_1> Puttana già che sei nera è troppo che ti parlo ti brucio viva	1	1
1239	<MENTION_1> <MENTION_2> Sotto quale lettera!C cene galanti, corna, corruttore, compravendita senatori?F fagiolini a 80€ al kg?G Gheddafi l'amico e poi inculato come si sa?L lodo Mondadori?M mafioso, Merkel l'inculabile culona?N la nipote di Mubarak?P Putin	1	1
1240	non vorrei risultare psicopatica ed infantile, ma: inutile che fate le cagne con mio marito, beccandovi pali atroci, perché mi manda screen e ridiamo di voi. In sintesi è mio, baci baci	1	0
1241	<MENTION_1> <MENTION_2> TU SEI SOLO UNA LURIDA SCHIFOSA SENZA NESSUNA MORALEVOI CELEBRITA' SAPETE SOLO VIVERE NELLE VOSTRE CASE LUSSUOSE LONTANI DAI PROBLEMI DEI POVERITU SEI UNA IMMORALE SCHIFOSA, UNA DONNA BIDONETORNA NELLA TUA FOGNA MERDA!	1	1
1242	<MENTION_1> <MENTION_2> Sei una merda che annega in un mare di merde, e io sulle battone come te ci piscio!Ecco una tua foto, impiccati #Merda! <URL>	1	1
1243	<MENTION_1> Era un puttanone.	1	1
1244	SEI UN GRAN PEZZO DI PUTTANONE <URL>	1	1
1245	"#GF15 Aida di nuovo bullizzata davanti il frigo. Luigi Favoloso hai un c*lo di merda"", Baye: ""sei una cagna"" e altri insulti dalle ragazze."""	1	1
1246	<MENTION_1> <MENTION_2> Facci un favore Asia: cagati in mano e prenditi a schiaffi	1	1
1247	<MENTION_1> <MENTION_2> <MENTION_3> <MENTION_4> <MENTION_5> <MENTION_6> <MENTION_7> <MENTION_8> <MENTION_9> Asia Argento, una che avendo un cognome si agita e strepita per farsi un nome.	1	0
1248	<MENTION_1> <MENTION_2> ma quindi non vi avevano impiccati tutti?	1	1
1249	<MENTION_1> #Berlusconi Bisogna avere un governo autorevole. Quando c'ero io, mettevo i veti sulle decisioni che non ci piacevano, e andava bene sia alla culona inchiavabile che a quell'abbronzato di mister Obama. E andrebbe bene pure oggi, a quel franc	1	1
1250	In questi momenti di pazzia che ha fex tu devi starle vicina..hai capito tettona ? — raga porto una -49 <URL>	1	1
1251	<MENTION_1> Ahahahahahah ma vai a fare in culo ebete. Ma cagati in mano e prenditi a schiaffi	1	1
1252	<MENTION_1> Ma cosa va a cercare questa pompinara fallita come moglie ,come madre, come attrice ?	1	1
1253	<MENTION_1> Te lo infilerei nel culo facendoti sentire le mie palle che sbattono sulla figa!	1	1
1254	<MENTION_1> Esatto vania VIVA LA TETTONA NATURALE!!!	1	0
1255	<MENTION_1> Amore sei una gran puttana e ho una gran voglia di godere con te adesso un bel sego e sul tuo bel culo mmmhhhh	1	1
1256	<MENTION_1> <MENTION_2> <MENTION_3> <MENTION_4> <MENTION_5> <MENTION_6> <MENTION_7> <MENTION_8> <MENTION_9> Ahahahahahah ma cagati in mano e prenditi a schiaffi lurida merda ebete . Fanculo tu i partigiani il 25 aprile e le balle che dic	1	1
1257	<MENTION_1> in realtà a lui piace (1) una tettona <URL>	1	0
1258	<MENTION_1> <MENTION_2> oh!! ma sta a vedere che era un androide e non una donna comune!!#mavaiacagaretuequellascrofaacida!	1	1
1259	<MENTION_1> Che belle tette fammi una Spagna che ti sborro in....	1	1
1260	"#Berlusconi potrà anche chiamare Putin o quella culona"" della Merkel, ma nessuno dei due ha potuto riportarlo in Parlamento, perché per quanto tu sia ricco o arrogante, c'è sempre nel mare un pesce più grosso ti te. #MarinaBerlusconi"""	1	1
1261	"RT <MENTION_1> #Berlusconi potrà anche chiamare Putin o quella culona"" della Merkel, ma nessuno dei due ha potuto riportarlo in Parl…"""	1	0
1262	<MENTION_1> <MENTION_2> <MENTION_3> <MENTION_4> Perché Asia Argento rappresenta le Donne??? Bel troione, e cocainomane cronica	1	1
1263	<MENTION_1> <MENTION_2> il rapper marito della culona Kardashian <URL>	1	1
1264	<MENTION_1> Io prima di lasciarti andare al mare ti scoperei sia in figa che in culo dopo una bella leccata di figa??????	1	1
1265	Ma stai zitta tettona che lo so che ti piace scopare a te altro che innocente verginella — Non so chi tu sia ma soprattutto che cazzo di problemi hai <URL>	1	1
1266	<MENTION_1> <MENTION_2> <MENTION_3> Perche credi che asia argento sia una fautrice rivoluzionaria delle donne? Dopo 20 anni denuncia, ma per favore	1	0
1267	<MENTION_1> <MENTION_2> Beh se asia argento e una donna allora...	1	0
1268	<MENTION_1> Che bel culone!!!	1	0
1269	<MENTION_1> Sempre meglio che andare in giro con la tua faccia da troia Adorina!	1	1
1270	<MENTION_1> <MENTION_2> <MENTION_3> <MENTION_4> <MENTION_5> <MENTION_6> <MENTION_7> <MENTION_8> <MENTION_9> <MENTION_10> <MENTION_11> <MENTION_12> <MENTION_13> Ce l'ho già duro te lo sbatterei in quella figa meravigliosa ? naturalmente dopo averla leccata	1	1
1271	<MENTION_1> <MENTION_2> <MENTION_3> Un puttanone srerile	1	1
1272	<MENTION_1> Tranquilla mi seghi coi piedi ma ti sborro in bocca ???	1	1
1273	<MENTION_1> Deliziose Tettone Puttanone &lt;3 &lt;3 &lt;3 &lt;3 &lt;3 &lt;3 &lt;3	1	1
1274	<MENTION_1> <MENTION_2> Deliziosa ? pompinara	1	1
1275	ALLARGATE I SEDILI: ARRIVA LA CULONA – LUFTHANSA PRONTA A PAPPARSI ALITALIA: DEPOTENZIATO FIUMICINO <URL> <URL>	1	1
1276	<MENTION_1> E lo so... Però capita di sentire donne che sparlano dicendo che una è una tettona o una è troppo piatta	1	0
1277	"<MENTION_1> da come lo usi si direbbe che tettona"" possa avere una accezione negativa, ma questo è impossibile"""	1	0
1278	<MENTION_1> Ma il termine TETTONA è un complimento supremo! <URL>	1	0
1279	"Mi confermate?Dare della TETTONA"" a una donna non è universalmente riconosciuto come uno dei più grandi apprezzamenti che si possano fare, ma, addirittura, può avere una accezione negativa? <URL>	1	0
1280	"RT <MENTION_1> Mi confermate?Dare della TETTONA"" a una donna non è universalmente riconosciuto come uno dei più grandi apprezzamenti che…"""	1	0
1281	<MENTION_1> Chiama Putin per gli affari comuni sul gas, chiama Merkel per chiamarla culona.  Silvio farebbe bene a chiudersi in un ospizio	1	1
1282	<MENTION_1> wowww mmmmmmmm che tettona	1	0
1283	madonna quanto sei gelosa tettona <URL>	1	1
1284	<MENTION_1> No, mi faccio io le tipe. Non sono gelosa. E aver uba terza quasi quarta bon è essere tettona.	1	0
1285	<MENTION_1> Bella tettona fa sognare e immaginare quello che c'è sotto	1	0
1286	"ODDIO LA PROVA COSTUME""E poi:- È magra- È alta- Ha un bel culo- È tettona- Fa sport- Dieta- Sua madre è troia"""	1	1
1287	<MENTION_1> <MENTION_2> <MENTION_3> se se mentre tu  tu ridi  quel grandissimo puttanone di tua mamma sta facendo fruttini a go go per 50 cent.. In piemonte solo gli gianduiotti possono fare	1	1
1288	<MENTION_1> Va benissimo, trovamene una figa con un bel culo sodo!	1	1
1289	<MENTION_1> Ovviamente ti faccio fare tutte le foto che vuoi se mi dai una mascherina, così arricchisci il tuo profilo da gran troia che sei. Mmmmmm gnocca	1	1
1290	RT <MENTION_1> Luigi: “Mia madre ha 47 anni vedessi che culo che c’ha, non come questa merda” (alludendo ad Aida)Baye: “Sei una cagna”D…	1	1
1291	<MENTION_1> ancora insulti contro Aida: «Sei una cagna. Zingara».Ma i ragazzi pensano di avere ragione... #gf15	1	1
1292	<MENTION_1> Mamma mia ti scoperei culo e figa come se non ci fosse un domani	1	1
1293	non c'è pericolo, la figa di legno non fa per me <URL>	1	1
1294	<MENTION_1> <MENTION_2> <MENTION_3> <MENTION_4> <MENTION_5> In culo la preso quella puttanona di sua madre forse figlio di una troiona immensa.	1	1
1295	<MENTION_1> <MENTION_2> Mai una donna mi ha fatto più schifo di Asia argento. Tutto quello che si ritrova è grazie al paparino. Facile fare i comunisti con i soldi eh Asia ? Anoressica del cazzo	1	1
1296	io: dai forse non è vero che tutti mi odianotutti: no muori puttana	1	1
1297	Roberto lascia stare quella figa di legno e gatta morta!!!! Ci sono io!!! #MATRIMONIOAPRIMAVISTA	1	1
1298	<MENTION_1> Di non essere tettona???	1	1
1299	Zio Putin si riposa all' Isola Sant'Angelo di Ischia Capitan Amerika ha ottenuto una promozione verso l' Alto in cui non ci sperava +Eni Nostra e Frau Culona avanzano verso Est sui gasdottiAlfie sta beneTra un po'si torna a votarePerché mi sento inutile?	1	1
1300	Roberto mettiti con me. Daniela non capisce niente a 28 anni ha la figa di legno peggio di non so cosa.  #MATRIMONIOAPRIMAVISTA	1	1
1301	Alice figa di legno. #lamafiauccidesolodestate	1	0
1302	<MENTION_1> <MENTION_2> <MENTION_3> certo, meglio la sinistra amica delle banche che ci deruba dei nostri soldi, vero??? Asia Argento se l'è cercata. E' stata lei la prima a offendere Salvini. Grandissima maleducata. Al futuro Presidente del Consi	1	0
1303	<MENTION_1> Presente...ma meglio se me lo meni tu e poi ti sborro ?	1	1
1304	<MENTION_1> Nooooooo tu mi vuoi male proprio alloraaa mamma miAaaaaa. Che culooooooooooooooooooo luci  che culassoooooooo mamma mia qui tu metterei a pecorina altro che ti scoperei sei una bella figa luci	1	1
1305	NICKI CULONA SVELA STA SORPRESA E FALLA FINITA OK	1	1
1306	<MENTION_1> Ma che splendida lavata di sborra calda mentre il cornuti si sega te lo sbatto tutto dentro la tua gola profonda bevitrice pompinara vogliosa di cazzo ummmmm	1	1
1307	<MENTION_1> <MENTION_2> MACRON È SOLO UN CLOWN IL PINOCCHIO FRANCESE !HA FATTO DIVENTARE PARIGI LA FOGNA MUSLIM EUROPEA! GRAZIE A CULONA MERKEL	1	1
1308	<MENTION_1> cagna culona che sei	1	1
1309	"<MENTION_1> L'abito contiene a malapena le Deliziose Enormi Naturali Tettone Puttanone e quei Capezzoloni tutti da mordere, succhiare e bere senza sosta...e se dici basta ti prego"" non ti sento &lt;3 &lt;3 &lt;3 &lt;3 &lt;3 &lt;3 &lt;3"""	1	1
1310	Che cazzo gridano ste troie	1	1
1311	<MENTION_1> BEL PUTTANONE LATINO DA SBARCO anche un po' indù &lt;3	1	1
1312	<MENTION_1> <MENTION_2> E la culona inchiavabile???	1	1
1313	<MENTION_1> Che bella figa ché ai mi piacerebbe leccare tutta amore mio ti scoperei tutta	1	1
1314	RT <MENTION_1> Gabriella moglie tettona infedele cerca un nuovo trombamico Gabriella &gt;&gt; <URL> <URL>	1	0
1315	Tettona con un tipo molto arrapato ! <URL>	1	1
1316	che bella troia che sei <URL>	1	1
1317	<MENTION_1> Sarkozy rideva di noi insieme alla culona inchiavabile...adesso ridiamo noi	1	1
1318	“brutta coppia schifosa”COME OSI BALDRACCA <URL>	1	1
1319	<MENTION_1> ti inculo come Ian fa con Mickey	1	1
1320	"RT <MENTION_1> Piccolo Napoleone #Sarkozy era quello che, in compagnia della culona inchiavabile"", irrideva noi, i nostri malcostumi e l…"""	1	1
1321	Ridevano prima d'insediare #Monti..Uno è andato..Ora tocca alla Culona inchiavabile  <URL>	1	1
1322	Anche la culona è alla canna del gas . Si , i gas di scarico delle auto wolkvagen.????????? <URL>	1	1
1323	<MENTION_1> MARTINA PORCA PUTTANA IMPANATA SEI STUPENDA VAFFANCULO STAI ZITTA	1	1
1324	<MENTION_1> <MENTION_2> Grandissima pompinara sei un vero spettacolo	1	1
1325	<MENTION_1> ciao Marika buona sera sempre più figa e che bocce che hai da infarto un bacio ?	1	0
1326	Quello che faceva i sorrisini con la culona ? <URL>	1	1
1327	Mamma mia che pezzo di figa assurda che sei — Grazie mille ? <URL>	1	1
1328	<MENTION_1> <MENTION_2> Nonna Merkel mi giunge nuova, non era culona Merkel ?	1	0
1329	Quel coglione di Francese in stato di fermo per finanziamenti illeciti dalla Libia, si permetteva di prendere per i fondelli a Berlusconi lui e quella culona di tedesca.	1	1
1330	<MENTION_1> Adesso fatte n'altra risata con la culona pezzo di merda	1	1
1331	<MENTION_1> Che troia che sei	1	1
1332	<URL> m'a dit che ride bene chi ride ultimo. Ti piaceva ridere con la culona tedesca? Bombardare la Libia dopo aver incassato? Ridi ridi e.....vaffanculo stronzo!	1	1
1333	<MENTION_1> no è solo che mi mette ansia quando c’ha il mestruo — porca troia, vedi te se mi devo trovare l’esorcista che mi guarda con gli occhi rossi e “ MI FA MALE LA SCHIENA “	1	0
1334	<MENTION_1> Non ha molto di cui gioire nemmeno la culona..	1	1
1335	RT <MENTION_1> Se sapete cucinare venite a vivere da me. Certo tettona e culona è difficile trovarla. Mi accontento di una che sappia cucinar…	1	1
1336	<MENTION_1> Come sei figa,te lo metterei tutto dentro???	1	1
1337	<MENTION_1> E con il sorrisino, complice la culona, ha voluto pure disarcionare Mr B. Chissà se egli aveva ricevuto qualche confidenza di Muammar ... A Sarko’ posso solo augurare un lungo e costoso processo da colpevole	1	1
1338	<MENTION_1> complimenti signora Daniela che bel culone e che meraviglia di buchino da leccare e succhiare anche la cacca . Mmmmm	1	1
1339	<MENTION_1> Che puttanata Mi faccio scopate epiche e non sentiamo il bisogno di bestemmiare: che cazzo c’e’ di porco e arrapante in una bestemmia piuttosto che dire “troia ingoia”?	1	1
1340	<MENTION_1> Siate pronti a sentire il ruggito della CULONA <URL>	1	1
1341	<MENTION_1> <MENTION_2> Lurida zecca schifosa! Ma peggio ancora chi le permette di parlare in pubblico! MERDE! ??✋?	1	1
1342	Bianca #Atzei troiona succhiacazzi... Perdipiu' brutta come un cassonetto del pattume #isoladeifamosi	1	1
1343	mamma mia che bel culone. Chissà se ha un profilo twitter. <URL>	1	1
1344	<MENTION_1> ciao lucrezya buona sera e buona serata quanto 6 figa e sexy ti scoperei ?	1	1
1345	adesso che è arrivata quella che è ancora convinta di valere qualcosa e dimentica le cose dette 5 minuti prima la mia #isola finisce qui#valeriamarini #culona	1	1
1346	"<MENTION_1> a quando al gabbio  anche  la culona ""?"""	1	1
1347	<MENTION_1> Ora tocca alla culona..Facciamo saltare l'€ e vedi che lacrimoni gli facciamo scendere...	1	0
1348	<MENTION_1> Il crimibale sarko non ridecoiuccun la culona della ?	1	0
1349	<MENTION_1> Ciao bella tettona un bacio dove piu lo desideri smak	1	0
1350	#cartabianca Dopo essere stata asfaltata la #merda #bodracca e anche #baldracca <MENTION_1> si fa vedere in televisione ovviamente dalla #Pdidiota #biancaberlinguer. Senza #ritegno.	1	1
1351	ti leccobil culo poi ti sborro dentro ti va <URL>	1	1
1352	SIGNORA BOLDRINI, A CASA A FARE LA CALZA QUELLO E' IL SUO POSTO <URL>	1	1
1353	<MENTION_1> Che simpaticone #sarkozy .... quando rideva con la #culona #inchiavabile.....#adessononridepiú	1	1
1354	È tre anni, tre anni che ci stavo assieme, e mi ha lasciata per una sporca puttana! Ok? Che cazzo vuoi? Che cazzo ti ho fatto? <URL>	1	1
1355	? sonoungrandissimoporco2: Tutto in gola…Troia! <URL>	1	1
1356	<MENTION_1> Adesso ridi che mamma ha fatto i gnocchi te con la culona inchiavabile	1	1
1357	<MENTION_1> <MENTION_2> Ora tocca alla culona...	1	1
1358	Incredibile come se capiti sul profilo di un puttanone nei suggerimenti ti esce la carrellata di puttanoni, per voi uomini Instagram deve essere proprio un luogo fatato	1	1
1359	<MENTION_1> Bèlla tettona, mi segui !!!!	1	1
1360	Ah concludo dicendo che c'avete rotto i coglioni voi e il vostro moralismo immotivato perché NESSUNO sta insultando quel pezzo di figa di ragazza, soprattutto considerando cosa ha passato(E i ritardini haterz che insultano qualsiasi cosa non valgono)	1	0
1361	<MENTION_1> Mmmm... bella troia... ti scoperei per ore... come godo bene... vieni a cavalcare il mio cazzone duro!! <URL>	1	1
1362	<MENTION_1> Certo che l’inchiavabile culona è ancora lì!	1	1
1363	"Mi è piaciuto un video di <MENTION_1> <URL> Marco Travaglio. La vera storia di Berlusconi e della Culona"""	1	1
1364	<MENTION_1> Bella tettona	1	1
1365	Poi sarebbe bello ma tanto bello se dopo fosse il turno della culona teutonica... <URL>	1	1
1366	<MENTION_1> <MENTION_2> E quando la culona si leverà anche lei dalle palle!	1	0
1367	<MENTION_1> Buongiormo lurida cagna da usare!	1	1
1368	<MENTION_1> <MENTION_2> <MENTION_3> <MENTION_4> <MENTION_5> <MENTION_6> <MENTION_7> <MENTION_8> <MENTION_9> <MENTION_10> E alla tedesca che gli facciamo? Nulla perché è una “culona inchiavabile”	1	1
1369	<MENTION_1> No, ma sono sicuro che se anche ti stesse venendo davvero, sarebbe un gran bel culone ??	1	1
1370	<MENTION_1> <MENTION_2> <MENTION_3> <MENTION_4> <MENTION_5> <MENTION_6> <MENTION_7> <MENTION_8> <MENTION_9> <MENTION_10> <MENTION_11> <MENTION_12> <MENTION_13> Porca puttana!! Smettila lucy!! ??Non è mattina per il tuo culone, come ha	1	1
1371	Porca puttana ogni mattina 'sta troia non la smette più di parlare	1	1
1372	<MENTION_1> <MENTION_2> Arriverà il giorno che anche la culona smetterà di ridere	1	1
1373	"<MENTION_1> Ma vi siete chiesti perché la Culona Inchiavabile"" non ha preso posizione..? Hanno quei famosi ""300MMM di ""Ragioni""... per stare zitti..!!"""	1	1
1374	"eeeh i bei tempi andati di donna schiava, zitta e lava"", quelli sì che erano tempi! <URL>	1	1
1375	<MENTION_1> <MENTION_2> <MENTION_3> <MENTION_4> No. E' palesemente una figa di legno.	1	1
1376	<MENTION_1> fatti inculare   cagna  vacca  troiona  con la mia minchia !!	1	1
1377	Guardo alcune vostre foto diversamente caste e mi verrebbe voglia di rispondervi con la gif di Elenoire “ma dove vuoi andare con quella faccia da troia”	1	1
1378	<MENTION_1> La Merkel....leggere il libro di <MENTION_2> per capire chi sia la culona...	1	1
1379	<MENTION_1> Ora toccherà alla culona ? Speriamo !	1	0
1380	<MENTION_1> Bel Culone da Monta ??	1	1
1381	<MENTION_1> Scusate....la culona	1	1
1382	<MENTION_1> <MENTION_2> Che tettona mmm	1	0
1383	<MENTION_1> Era quello che rideva assieme alla culona????...	1	0
1384	RT <MENTION_1> Vi piace il fisico di questa #ragazza?#voto #mora #formosa #tettona #ragazze #video #sottoladoccia #esibizionismo #donne…	1	0
1385	<MENTION_1> <MENTION_2> Che Troia che sei	1	1
1386	<MENTION_1> no no lo diciamo, ride bene chi ride ultimo, ora tocca alla CULONA.	1	1
1387	<MENTION_1> Che cazzo state dicendo ! Nn è che 2 codini fanno diventare una Britney... una era una figa imperiale L’ altra una balena siliconata  con i codini .... ????? nn si può sentire ????????	1	0
1388	<MENTION_1> <MENTION_2> Quel nano brutto come la fame che rideva assieme alla culona	1	1
1389	#tagadala7 #panella la pompinara di #cairo <URL>	1	0
1390	Merkel Culona, cosa dici ora del tuo amico francese? Siamo sicuri su di te? Sai chi va con lo zoppo?.......siete sempre bravi a dire di noi.......ma a quanto pare tutto mondo è paese!!!!!	1	1
1391	"<MENTION_1> <MENTION_2> <MENTION_3> E prima o poi toccherà alla culona inchiavabile""....! ???"""	1	1
1392	ti inculo <URL>	1	1
1393	<MENTION_1> Apri che arrivo lo metto dentro e ti sborro	1	1
1394	<MENTION_1> <MENTION_2> Per la verità ha fatto il giro delle 5 chiese, manca quella della Merkel (volgarmente chiamata la culona)!!!!!	1	1
1395	<MENTION_1> <MENTION_2> il piu bel culo e la piu bella figa del web	1	0
1396	<MENTION_1> <MENTION_2> ...e in più, bbbona da paura!! Ma voi mette' che figurone che famo quanno va a parlà co' quella culona da'a Merkel?!?!	1	0
1397	<MENTION_1> Si molto, legata, gancio nel culo, vibra nella figa, io che ti scopo in gola, e ti frusto quelle tettone, clito e grandi labbra... lo so sogno proibito... ma sognare non costa niente.	1	1
1398	<MENTION_1> ciao Selena buon pm quanto 6 figa e sexy ti scoperei un abbraccio e un bacio ?	1	1
1399	<MENTION_1> ciao Debora buon pm quanto 6 figa e sexy e che bel culo wow da infarto un abbraccio e un bacio ?	1	1
1400	meglio la mia vicina tettona <URL>	1	1
1401	ERANO TRE ANNI CHE CI STAVO ASSIEME E LUI MI HA LASCIATO PER UNA SPORCA PUTTANA <URL>	1	1
1402	<MENTION_1> ti inculo con un palo	1	1
1403	<MENTION_1> che culo ti inculerei a secco troia	1	1
1404	Biondina tettona con belle coscione tutta da scopare <URL> <URL>	1	1
1405	"<MENTION_1> Io non riesco a capì perché culona"" e ""bocchinara"" siano considerati insulti"""	1	0
1406	CONDANNARE A MORTE ANCHE LA CULONA TEDESCA <URL>	1	1
1407	<MENTION_1> ciao Greta buona sera e buona serata bella porcona 6 una gran figa anche molto sexy ti scoperei un abbraccio e un bacio ?	1	1
1408	Popolo di #upas ,avete scelto la culona inchiavabile come guest potente di upas <URL>	1	1
1409	<MENTION_1> ???Stupenda... Anche la culona non sghizazza più... #Euromerde	1	0
1410	<MENTION_1> <MENTION_2> Non concordiamo affatto. È la figa di legno che piace alle donne.	1	1
1411	<MENTION_1> <MENTION_2> <MENTION_3> Ti piacerebbe nel tuo culo eh troia ?	1	1
1412	Caro Sarcosí ( eccazzomenefrega se non va scritto così, mo ti piglio per il popo’ io), adesso sono io che ridacchio... e la prossima sarà’ la culona amica tua.....	1	0
1413	<MENTION_1> Che puttanona	1	1
1414	<MENTION_1> <MENTION_2> Sì perché sei una cagna pure  tu <URL>	1	1
1415	<MENTION_1> Gli italiani sono tolleranti, non particolarmente pazienti singolarmente, ma come popolo sí. Alla lunga, siamo fortunati. Non siamo vendicativi. Siamo incapaci di odiare sul serio. Siamo mammoni e col cuore tenero. Facili alle lacrime. Emoti	1	0
1416	bel culone da sculacciare <URL>	1	1
1417	Che poi a essere io figa come la Vanessa balena #DDDance	1	0
1418	#Zucca classico esempio di figlio di puttana partorito dal buco del culo di una lurida comunista qualsiasi.	1	1
1419	Nel tuo profilo le foto cin la tua faccia da troia che sei mi stai proprio sul c..puttanone	1	1
1420	Sopra di me abita una tettona che ci sa fare davvero: soprattutto quando si mette sul mio cazzo #racconti #erotici <URL>	1	0
1421	<MENTION_1> La lurida troia sarebbe da impalare...	1	1
1422	<MENTION_1> E stato un piacere essere con te, troia succhia cazzi hahaha ???	1	1
1423	Si sono porco prima ti scopo la bocca poi ti in culo e infine voglio la figa x sborrarti e schizzati in faccia <URL>	1	1
1424	Perché tu sei una cagna, capito fanculo ragazzo	1	1
1425	<MENTION_1> <MENTION_2> impiccati	1	1
1426	<MENTION_1> <MENTION_2> Quanto sei tanta!!!! Mi perderei in mezzo a tutto quel ben di dio!!!! Che tettona favolosa sei.......	1	1
1427	<MENTION_1> Se ti metti così Sopra di me ti impalo ed esplodo .... fantastica super tettona	1	1
1428	<MENTION_1> buongiorno cara signora complimenti al suo gran bel culone . Mmmmmm	1	0
1429	<MENTION_1> complimenti alla tua signora complimenti al suo gran bel culone . Vorrei vederlo mentre caga	1	1
1430	<MENTION_1> Nel 2011 fu un colpo di stato..il tempo della culona edl mangia baguette sta x finire ..tra poco ridiamo noi	1	1
1431	Mai andare in vacanza senza portarsi appresso una bella tettona sempre accesa e vogliosa #racconti #erotici <URL>	1	1
1432	<MENTION_1> Ti sborro io volentieri se vuoi	1	1
1433	"<MENTION_1> <MENTION_2> Ti sborro io volentieri se vuoi"" porco <MENTION_2> é una signora"""	1	1
1434	"<MENTION_1> Lo so, è fantascienza!Ma se l' #Europa di Serie B"" si staccasse dall' #Euro,si aggregasse con moneta e regole comuni,sono convinto che nel giro di pochi anni la culona #Merkel ela Grande #Germania, avrebbero le pezze al culo!A chi venderebb"	1	1
1435	<MENTION_1> Porca puttana che figa che hai me la mangiarei a colazione pranzo spuntino e cena ogni giorno	1	1
1436	"<MENTION_1> Ridi ridi pagliaccio. Così diceva una canzone di qualche decennio fa ma ancora attuale. Adesso aspettiamo la culona"""""	1	0
1437	<MENTION_1> Che poi non capisco il dispregiativo bocchinara culona. A me sa di valore aggiunto.	1	1
1438	<MENTION_1> ciaooo bellissima tettona	1	1
1439	<MENTION_1> Viva le donne senza Asia Argento.	1	0
1440	<MENTION_1> <MENTION_2> tutto da penetrare e da sfondare questo bel culone	1	1
1441	Diceva Silvio Berlusconi della Merkel :è una culona inchiavabile.Mi sa che non ha visto questa <URL>	1	0
1442	<MENTION_1> Bellissima pompinara...in azione	1	1
1443	<MENTION_1> <MENTION_2> ma zitta puttana	1	1
1444	Tranquilla figa di legno, ti accetto proprio per quello che sei.	1	1
1445	che puttanona dio troia!!! <URL>	1	1
1446	<MENTION_1> E certo il testimone chiave è morto ammazzato grazie a te e quella gran culona della merkel	1	1
1447	ma guardalo,quale intellettuale,una faccia da babbeo vicino ad una pompinara con 35 anni di mestiere.Volendo se lo gira e rigira all'intellettuale <URL>	1	1
1448	<MENTION_1> MA STATTI ZITTA PUTTANA	1	1
1449	"<MENTION_1> <MENTION_2> Si possono sapere esattamente i nomi di registi italiani fatti da Asia Argento? E il gruppo di attrici italiane definite giustamente omertose"" chi e cosa hanno denunciato per capirci? Ah già, un sistema. Bene...che ne abbiamo in"	1	0
1450	<MENTION_1> Tettona Buon Giorno???	1	0
1451	<MENTION_1> Ciaoo tesoro Buongiorno  che tettona	1	1
1452	<MENTION_1> <MENTION_2> La tua figa è bellissima	1	0
1453	<MENTION_1> <MENTION_2> Che bella tettona e che labbra a cuoricino...	1	1
1454	<MENTION_1> in Baviera, Germania sindaci lo fanno già da 12 mesi, mandano pullman all ufficio della culona a Berlino, rimandiamoli a  Roma	1	1
1455	<MENTION_1> Ma che bel culone......	1	0
1456	RT <MENTION_1> Quanto mi può stare sul cazzo una persona? Ma ammazzati troia!	1	1
1457	<MENTION_1> Cazzo che figa che sei ti scoperei 5 volte al giorno	1	1
1458	<MENTION_1> parla il puttanone per eccellenza	1	1
1459	<MENTION_1> Culona chiavabile	1	1
1460	#Lagguato sessuale della scimmietta: vede la turista tettona e la palpeggia  <URL> <URL>	1	0
1461	Katia la mia amante tettona mi fa un bocchino <URL> <URL>	1	1
1462	<MENTION_1> so' fasci. pensano che bocchinara sia insulto.quello che partorisce il loro cervello vedendo te è culona.ma veramente, esiste una categoria che capisce meno di un cazzo di così della qualsiasi cosa?ma niente, già solo per la risposta te bacio	1	1
1463	Che dici facciamo un aperitivo? Ah già dimenticavo tu hai la figa speciale e la figa d'oro non puoi aperitivare con me......aooooo allora moo faccio io alla faccia tua??Semplicemente buona serata ????????????????????? <URL>	1	1
1464	bel culone da milf <URL>	1	1
1465	#avantiunaltro oddio questa sarà pure tettona ma me sembra na tardona cronica eh...	1	1
1466	<MENTION_1> ciao carla buona sera e buona serata quanto 6 figa e sexy e molto porca mi fai arrapare un bacio ?	1	1
1467	Questa culona meravigliosa si aggirava tra le scrivanie: e voi non vi sareste divertiti con lei? #racconti #erotici <URL>	1	1
1468	<MENTION_1> ciao Gabry buona sera e buona serata se vuoi ti scopo io e ti sborro tutto in faccia un bacio ?	1	1
1469	<MENTION_1> <MENTION_2> E questa merda sarebbe normale,degna di un paese di uomini e donne veri,o di schifose amebe prive di spina dorsale? #Balzerani in galera fino alla fine della sua lurida vita di carogna!	1	1
